Time,Attack_Type,Source_Longitude,Source_Latitude,Destination_Longitude,Destination_Latitiude
2023-12-06 18:30:36,exploit,-97.822,37.751,-99.1183,19.6909
2023-12-06 18:30:36,exploit,-77.4903,39.0469,-99.1183,19.6909
2023-12-06 18:30:36,exploit,-97.7494,30.5034,-98.5313,29.4213
2023-12-06 18:30:36,exploit,-77.4903,39.0469,-93.7832,41.7026
2023-12-06 18:30:36,exploit,-77.4903,39.0469,-93.7832,41.7026
2023-12-06 18:30:36,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:36,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:36,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:36,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:36,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:36,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:36,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:37,exploit,-121.8996,37.2941,121.586,24.9466
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.3057,48.7962,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:37,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:38,exploit,2.4075,48.8323,2.3057,48.7962
2023-12-06 18:30:38,exploit,-94.5778,39.1027,-97.7467,30.2627
2023-12-06 18:30:38,exploit,-97.822,37.751,-97.7467,30.2627
2023-12-06 18:30:38,exploit,-97.822,37.751,103.8503,1.2868
2023-12-06 18:30:38,exploit,8.6843,50.1188,103.8503,1.2868
2023-12-06 18:30:38,exploit,13.8118,51.0515,103.8503,1.2868
2023-12-06 18:30:38,exploit,8.6843,50.1188,103.8503,1.2868
2023-12-06 18:30:38,malware,-97.822,37.751,-56.0958,-15.597
2023-12-06 18:30:38,malware,-97.822,37.751,-56.0958,-15.597
2023-12-06 18:30:38,malware,-97.822,37.751,-56.0958,-15.597
2023-12-06 18:30:38,exploit,21.0067,52.2296,21.0067,52.2296
2023-12-06 18:30:38,exploit,21.0067,52.2296,21.0067,52.2296
2023-12-06 18:30:38,exploit,21.0067,52.2296,21.0067,52.2296
2023-12-06 18:30:38,exploit,21.0067,52.2296,21.0067,52.2296
2023-12-06 18:30:38,exploit,21.0067,52.2296,21.0067,52.2296
2023-12-06 18:30:38,exploit,21.0067,52.2296,21.0067,52.2296
2023-12-06 18:30:38,exploit,21.0067,52.2296,21.0067,52.2296
2023-12-06 18:30:38,exploit,21.0067,52.2296,21.0067,52.2296
2023-12-06 18:30:38,exploit,21.0067,52.2296,21.0067,52.2296
2023-12-06 18:30:38,exploit,21.0067,52.2296,21.0067,52.2296
2023-12-06 18:30:38,exploit,-79.4204,43.6655,121.0056,24.8351
2023-12-06 18:30:38,exploit,-79.4204,43.6655,121.0056,24.8351
2023-12-06 18:30:38,exploit,-94.5778,39.1027,121.0056,24.8351
2023-12-06 18:30:38,exploit,-94.5778,39.1027,121.0056,24.8351
2023-12-06 18:30:38,exploit,-97.822,37.751,121.0056,24.8351
2023-12-06 18:30:38,exploit,-97.822,37.751,121.0056,24.8351
2023-12-06 18:30:38,exploit,-97.822,37.751,121.0056,24.8351
2023-12-06 18:30:38,exploit,-94.5778,39.1027,121.0056,24.8351
2023-12-06 18:30:38,exploit,-97.822,37.751,121.0056,24.8351
2023-12-06 18:30:38,exploit,-97.822,37.751,121.0056,24.8351
2023-12-06 18:30:38,exploit,-97.822,37.751,121.0056,24.8351
2023-12-06 18:30:38,exploit,-97.822,37.751,121.0056,24.8351
2023-12-06 18:30:38,exploit,-97.822,37.751,121.0056,24.8351
2023-12-06 18:30:38,exploit,-94.5778,39.1027,121.0056,24.8351
2023-12-06 18:30:38,exploit,-97.822,37.751,121.0056,24.8351
2023-12-06 18:30:38,exploit,-94.5778,39.1027,121.0056,24.8351
2023-12-06 18:30:38,exploit,-97.822,37.751,121.0056,24.8351
2023-12-06 18:30:38,exploit,-94.5778,39.1027,121.0056,24.8351
2023-12-06 18:30:38,exploit,-97.822,37.751,121.0056,24.8351
2023-12-06 18:30:38,exploit,-94.5778,39.1027,121.0056,24.8351
2023-12-06 18:30:38,exploit,-97.822,37.751,121.0056,24.8351
2023-12-06 18:30:38,exploit,-94.5778,39.1027,121.0056,24.8351
2023-12-06 18:30:39,exploit,-97.822,37.751,121.0056,24.8351
2023-12-06 18:30:39,exploit,-97.822,37.751,121.0056,24.8351
2023-12-06 18:30:39,exploit,-79.4204,43.6655,121.0056,24.8351
2023-12-06 18:30:39,exploit,-97.822,37.751,121.0056,24.8351
2023-12-06 18:30:39,exploit,-94.5778,39.1027,121.0056,24.8351
2023-12-06 18:30:39,exploit,-97.822,37.751,121.0056,24.8351
2023-12-06 18:30:39,exploit,-97.822,37.751,121.0056,24.8351
2023-12-06 18:30:39,exploit,-97.822,37.751,121.0056,24.8351
2023-12-06 18:30:39,exploit,-94.5778,39.1027,121.0056,24.8351
